team_name,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck,Att_rushing,Rush Yds,YPC,TD_rushing,Rush 1st,Rush 1st%,FR TD,SFTY,INT TD,3rd Att,3rd Md,4th Att,4th Md,Rush 1st_downs,Rush 1st%_downs,Scrm Plys,FF,FR,FR TD_fumbles,INT_interceptions,INT TD_interceptions,INT Yds,Lng
Commanders,423,269,63.6,7.5,3175,28,6,149,35.2,35,305,1357,4.4,7,71,23.3,0,0,0,162,64,15,9,71,23.3,763,8,7,0,6,0,26,23
Vikings,389,271,69.7,6.4,2493,15,9,128,32.9,29,281,1034,3.7,7,67,23.8,2,0,0,152,63,16,10,67,23.8,699,15,5,2,9,0,111,43
Lions,376,237,63,6.7,2503,19,8,133,35.4,23,260,1004,3.9,8,56,21.5,0,1,1,127,46,17,10,56,21.5,659,7,4,0,8,1,116,50T
Cowboys,325,195,60,5.7,1839,14,12,96,29.5,37,291,1200,4.1,8,64,22,1,1,5,143,49,24,13,64,22,653,9,4,1,12,5,249,63T
Chiefs,312,190,60.9,5.5,1708,12,6,95,30.4,36,249,1124,4.5,6,62,24.9,1,0,0,126,45,16,7,62,24.9,597,11,8,1,6,0,41,16
Bills,358,243,67.9,6.3,2246,13,10,124,34.6,39,268,1215,4.5,6,56,20.9,0,0,1,145,56,16,9,56,20.9,665,12,8,0,10,1,82,32T
Saints,337,198,58.8,5.9,1991,13,12,99,29.4,18,264,1136,4.3,6,56,21.2,0,0,1,138,48,10,5,56,21.2,619,4,6,0,12,1,74,27T
Bengals,328,206,62.8,7.6,2478,13,12,118,36,26,274,1383,5,11,82,29.9,0,0,1,121,53,8,2,82,29.9,628,7,6,0,12,1,110,30
Dolphins,378,258,68.2,6.2,2336,16,9,118,31.2,38,271,1021,3.8,9,72,26.6,0,0,2,142,51,21,9,72,26.6,687,9,5,0,9,2,184,99
Panthers,294,193,65.6,6.1,1792,13,5,103,35,17,302,1294,4.3,16,78,25.8,0,0,2,126,46,7,5,78,25.8,613,2,2,0,5,2,202,99
Jets,347,220,63.4,5.8,2015,13,12,109,31.4,28,365,1543,4.2,7,80,21.9,1,2,1,165,70,6,4,80,21.9,740,11,7,1,12,1,145,51T
Packers,357,230,64.4,6.3,2256,12,5,118,33,26,341,1487,4.4,10,85,24.9,1,0,1,158,63,22,11,85,24.9,724,7,7,1,5,1,66,37T
Seahawks,405,266,65.7,6.3,2538,14,8,130,32.1,32,305,1295,4.2,14,78,25.6,0,0,3,152,67,17,6,78,25.6,742,10,7,0,8,3,170,97
Chargers,389,265,68.1,7.5,2916,16,6,143,36.8,34,252,1020,4,12,59,23.4,0,0,0,129,46,24,15,59,23.4,675,8,9,0,6,0,31,9
Texans,345,241,69.9,7,2414,10,7,112,32.5,24,264,965,3.7,12,68,25.8,0,0,0,134,55,13,5,68,25.8,633,11,7,0,7,0,46,33
Raiders,360,244,67.8,6.4,2310,13,10,118,32.8,27,324,1455,4.5,10,82,25.3,0,1,1,143,60,15,7,82,25.3,711,7,4,0,10,1,219,75T
Buccaneers,364,246,67.6,7.4,2707,16,8,133,36.5,29,241,900,3.7,4,54,22.4,0,0,1,135,63,10,4,54,22.4,634,9,7,0,8,1,80,28T
Browns,264,146,55.3,5.4,1437,9,9,66,25,33,242,996,4.1,10,45,18.6,1,0,1,126,32,6,4,45,18.6,539,8,6,1,9,1,78,34T
Patriots,352,233,66.2,6.5,2288,12,6,120,34.1,18,287,977,3.4,9,57,19.9,0,1,0,139,55,12,8,57,19.9,657,6,4,0,6,0,42,20
Cardinals,339,236,69.6,7.1,2392,17,8,130,38.4,32,344,1453,4.2,15,92,26.7,1,0,0,139,65,11,4,92,26.7,715,6,5,1,8,0,84,46
Rams,329,204,62,6.6,2178,10,5,112,34,21,283,1173,4.1,10,67,23.7,0,0,0,132,53,13,9,67,23.7,633,6,4,0,5,0,18,18
Colts,347,224,64.6,6.6,2288,10,11,108,31.1,30,318,1297,4.1,15,80,25.2,1,0,2,146,56,16,10,80,25.2,695,11,5,1,11,2,168,66T
Jaguars,379,243,64.1,6.7,2544,16,11,117,30.9,20,225,870,3.9,6,52,23.1,0,0,2,130,44,25,12,52,23.1,624,10,9,0,11,2,171,61
Bears,402,275,68.4,6.7,2705,22,9,139,34.6,15,258,875,3.4,6,55,21.3,0,0,1,143,68,13,8,55,21.3,675,8,4,0,9,1,98,42T
Giants,371,234,63.1,7,2603,14,9,121,32.6,19,309,1486,4.8,17,83,26.9,0,0,2,140,50,12,5,83,26.9,699,9,7,0,9,2,208,102
Eagles,405,265,65.4,6.1,2481,21,5,139,34.3,31,190,765,4,3,43,22.6,0,1,1,132,57,24,11,43,22.6,626,13,7,0,5,1,103,70T
Falcons,323,203,62.8,6.2,2004,17,5,107,33.1,21,276,1084,3.9,4,55,19.9,0,1,0,128,44,10,5,55,19.9,620,7,5,0,5,0,32,25
Steelers,365,213,58.4,6.6,2399,12,11,116,31.8,28,290,1277,4.4,6,64,22.1,1,1,1,143,56,13,6,64,22.1,683,13,8,1,11,1,123,32T
Ravens,402,241,60,4.6,1867,9,10,106,26.4,44,267,1141,4.3,4,61,22.8,0,1,1,162,57,19,7,61,22.8,713,8,5,0,10,1,171,52T
49ers,416,277,66.6,5.6,2346,11,15,118,28.4,33,225,902,4,5,64,28.4,0,0,0,138,55,15,6,64,28.4,674,7,6,0,15,0,214,32
Broncos,323,230,71.2,7.4,2401,18,10,119,36.8,19,292,1600,5.5,11,78,26.7,1,0,0,114,44,19,10,78,26.7,634,12,9,1,10,0,81,33
Titans,318,219,68.9,7.3,2308,12,3,113,35.5,25,291,1123,3.9,7,60,20.6,0,0,0,135,54,12,8,60,20.6,634,8,4,0,3,0,38,18
